Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved ANN 5 Noise 05,2.4972379032258067,0.4943695564516129,128.0,0.9503629032258064,0.39999052419354847,0.09437903225806457,0.19775705645161282,0.3078733870967741,0.8133558832022068,0.6318096653534945,0.43920513228086844,0.16428029716205753
1,"DBS: 0.75, 3, 4, 3, 5",2.4384173387096775,0.3995586693548387,135.0,0.9511693548387097,0.31735927419354826,0.08219939516129035,0.22137701612903216,0.37906431451612926,0.8350804551001726,0.49887178244575436,0.27798681178795115,0.22944649254237667
2,Second by RichardHufford,2.409163306451613,0.40886995967741935,133.0,0.9488709677419355,0.3072260080645161,0.10164395161290321,0.2239977822580645,0.36713225806451627,0.819198110894564,0.15228300145389786,0.6571876645881116,0.07931822714546637
3,Revised Downing,2.3882358870967746,0.3937086693548387,120.0,0.9503629032258064,0.26948145161290304,0.12422721774193546,0.24341995967741936,0.362871370967742,0.7080466679814501,0.4186414996991205,0.37985800020512855,0.2554490689114478
4,Evolved FSM 16 Noise 05,2.376502016129032,0.44421834677419353,112.0,0.9501209677419354,0.34148891129032266,0.10272943548387097,0.20003346774193534,0.355748185483871,0.8604395944300771,0.489559757012533,0.41196845515826547,0.0957637396293843
5,Evolved ANN,2.3737500000000002,0.4206752016129032,136.0,0.9511290322580646,0.3530090725806454,0.06766612903225806,0.18416874999999994,0.39515604838709667,0.8137133536688099,0.6189689425014339,0.2941694975163556,0.07005865864815557
6,First by Downing,2.3198286290322576,0.2930627016129032,151.0,0.04963709677419355,0.21594919354838724,0.07711350806451614,0.24168689516129033,0.4652504032258063,0.5042784050231433,0.3630104110231085,0.25911642885921127,0.11963381926926651
7,Second by Borufsen,2.3160282258064515,0.5492395161290322,116.0,0.9481451612903226,0.42367076612903204,0.12556875,0.14890564516129037,0.3018548387096775,0.9151141659343227,0.13189594249302725,0.6828289323008829,0.1447850516865624
8,Second by Mikkelson,2.3112298387096777,0.5646616935483871,94.0,0.9490322580645161,0.47473125000000005,0.08993044354838708,0.11280201612903228,0.3225362903225805,0.8953617631014779,0.6718953367738271,0.503940859742965,0.307321182289191
9,Second by Rowsam,2.308084677419355,0.4983641129032258,97.5,0.9519354838709677,0.4025768145161291,0.09578729838709683,0.14958790322580648,0.35204798387096753,0.7962055705497327,0.6422909120552445,0.45418458414113094,0.2604916104612594
10,Level Punisher,2.306703629032258,0.46921653225806453,124.0,0.9511693548387097,0.3951493951612902,0.07406713709677422,0.14721451612903222,0.3835689516129033,0.850193780094472,0.6406431181450342,0.3583484090187624,0.1314632290097945
11,Evolved FSM 6,2.3064314516129034,0.45060685483870966,104.0,0.9493548387096774,0.28356249999999994,0.1670443548387097,0.2260778225806452,0.32331532258064516,0.7377488793571809,0.2452621315087332,0.6096670433170551,0.21322735623768646
12,"Omega TFT: 3, 8",2.3009677419354837,0.39702237903225807,180.0,0.9514112903225806,0.3272786290322583,0.06974375000000003,0.17943125,0.4235463709677418,0.8441212444964209,0.11142587212823513,0.47768797362505505,0.05800833126384499
13,Second by White,2.2868346774193546,0.6798086693548387,19.0,0.9491935483870968,0.5366743951612903,0.14313427419354838,0.08899919354838708,0.23119213709677425,0.9497678943150238,0.6105202380521972,0.9496730915423293,0.3696521361275361
14,"DoubleCrosser: (D, D)",2.2833266129032257,0.3520147177419355,160.0,0.9486693548387096,0.27777157258064533,0.07424314516129037,0.200936693548387,0.4470485887096774,0.8274226692107235,0.5046190852007864,0.25766244472882205,0.058238433930055
15,Second by Cave,2.279274193548387,0.5330572580645161,111.0,0.9521774193548387,0.4252026209677421,0.1078546370967742,0.13410504032258064,0.33283770161290305,0.9122441358442638,0.3277469478684564,0.6096843341522786,0.1551595999635584
16,Second by Tranquilizer,2.2688911290322578,0.5852566532258064,68.0,0.9499596774193548,0.4405766129032258,0.14468004032258064,0.13345403225806443,0.28128931451612904,0.8628168418838058,0.4424912987740282,0.867620899722024,0.34898693223038213
17,PSO Gambler 2_2_2 Noise 05,2.2686290322580644,0.4524985887096774,118.0,0.9507661290322581,0.30543709677419356,0.14706149193548385,0.2008268145161291,0.34667459677419343,0.6286145080245952,0.4752327064840405,0.5916568690081839,0.27937986223477956
18,Second by Yamachi,2.2553326612903226,0.5912816532258065,77.0,0.9479032258064516,0.47624536290322594,0.11503629032258057,0.1045653225806451,0.30415302419354834,0.842519296263702,0.6309350737480567,0.5751239266086599,0.35091981530491817
19,"Stalker: (D,)",2.252701612903226,0.5983879032258065,64.0,0.9497177419354839,0.457276814516129,0.14111108870967737,0.11914274193548385,0.2824693548387098,0.9057257947682121,0.7141815446464725,0.4652267050544859,0.19077092773368698
20,Second by Kluepfel,2.2471774193548386,0.4896909274193548,114.0,0.9510887096774193,0.37466774193548363,0.11502318548387094,0.1533649193548387,0.3569441532258066,0.8809165319664182,0.3097205119707506,0.6742398188382476,0.1149449641235041
21,Second by Harrington,2.242348790322581,0.6470576612903226,90.0,0.9488709677419355,0.443564314516129,0.20349334677419348,0.13970786290322587,0.2132344758064516,0.919036367921192,0.29694369926760916,0.8756173327040945,0.28895628130183243
22,Doubler,2.240816532258064,0.6563290322580645,31.0,0.9530241935483871,0.5084415322580643,0.1478875,0.09330866935483872,0.2503622983870968,0.9501266112917075,0.5341086198259823,0.9504223807582267,0.21974712454403464
23,Spiteful Tit For Tat,2.2359778225806455,0.2349046370967742,217.0,0.9519354838709677,0.18246653225806456,0.0524381048387097,0.231273991935484,0.5338213709677417,0.7775494535997917,0.0504739108147893,0.23363293047620715,0.04976610290903763
24,"Grumpy: Nice, 10, -10",2.234868951612903,0.7233814516129032,40.0,0.9499596774193548,0.5498574596774195,0.17352399193548387,0.07682298387096764,0.19979556451612895,0.9140771695901398,0.879111463029712,0.6226501819973763,0.5432804395294114
25,Original Gradual,2.2343850806451613,0.4591540322580645,130.0,0.9507661290322581,0.32967560483870983,0.12947842741935484,0.17602358870967746,0.36482237903225784,0.9140646803061562,0.334448842545406,0.2752260927490971,0.1736494676405057
26,Second by GraaskampKatzen,2.2339415322580645,0.2937443548387097,215.0,0.9504435483870968,0.23688084677419355,0.056863508064516094,0.20428205645161282,0.5019735887096775,0.813720174186942,0.04960105780234422,0.3244408800823352,0.049568522542286955
27,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.232389112903226,0.48346008064516127,124.0,0.9491935483870968,0.39692600806451617,0.08653407258064519,0.13088608870967736,0.3856538306451613,0.869681159978979,0.5399327347306979,0.4328268306463536,0.1442434256815357
28,Soft Go By Majority: 40,2.231451612903226,0.6327362903225806,65.0,0.9486290322580645,0.5051782258064518,0.127558064516129,0.08755745967741939,0.2797062499999999,0.9006448429341337,0.7456593050176963,0.5596792217459762,0.2855394501823757
29,VeryBad,2.2311088709677422,0.6560739919354839,64.5,0.9475,0.5180008064516128,0.13807318548387107,0.08326169354838706,0.260664314516129,0.8989394341772471,0.7675536614420779,0.595602853269448,0.31306312694842936
30,ShortMem,2.2301108870967745,0.5989306451612904,60.0,0.9513709677419355,0.483019758064516,0.11591088709677419,0.09451229838709677,0.3065570564516131,0.9292956576950442,0.5890499145692097,0.6491551177020486,0.26369987157135805
31,Soft Go By Majority: 20,2.2263407258064514,0.6204360887096774,68.0,0.9506048387096774,0.4992199596774192,0.12121612903225798,0.08738084677419351,0.29218306451612924,0.9023512436907971,0.7215805215679888,0.5529960874994864,0.271528270056517
32,"BackStabber: (D, D)",2.224798387096774,0.19678165322580646,203.0,0.9513709677419355,0.14845967741935487,0.04832197580645162,0.24421935483870963,0.558998991935484,0.7938018182712276,0.3438514208688789,0.10692587534650841,0.05236100081699034
33,Soft Go By Majority,2.223860887096774,0.6515032258064516,65.0,0.949758064516129,0.5103010080645161,0.1412022177419356,0.08537016129032257,0.26312661290322575,0.8991412908918179,0.765626261502712,0.5794039517692515,0.29499489994526323
34,Soft Go By Majority: 10,2.2223790322580648,0.6205316532258065,67.5,0.9517741935483871,0.5011586693548385,0.11937298387096784,0.08466673387096774,0.2948016129032259,0.9109309333360666,0.6992471706390989,0.5657074528418725,0.2746587404324238
35,"EugineNier: (D,)",2.2169657258064515,0.17741028225806452,216.0,0.951733870967742,0.13109233870967738,0.04631794354838708,0.2503816532258064,0.5722080645161292,0.782884504580696,0.04992801666687349,0.16170446684460948,0.04999260784851405
36,Second by Eatherley,2.2081754032258063,0.7502558467741935,22.0,0.9494758064516129,0.558772177419355,0.19148366935483868,0.0701163306451613,0.1796278225806451,0.9500458803779068,0.6142511541678964,0.9498427516689101,0.4949685971841364
37,Tit For 2 Tats,2.2047177419354838,0.7064826612903226,21.5,0.9485483870967742,0.543063306451613,0.16341935483870954,0.07050100806451604,0.2230163306451613,0.9502431684623128,0.6862342559878516,0.9505404485542421,0.2897804994967831
38,GTFT: 0.1,2.202227822580645,0.5905905241935484,82.0,0.9483467741935484,0.4242794354838709,0.1663110887096775,0.12938245967741932,0.28002701612903225,0.950228277380845,0.14061971851654703,0.9499780614899219,0.1405928590388745
39,Evolved FSM 4,2.199304435483871,0.5482389112903225,89.0,0.9503225806451613,0.2753834677419356,0.2728554435483871,0.23030645161290306,0.2214546370967741,0.7622969938277389,0.41318503033400095,0.1478625959329875,0.7028331002347328
40,GTFT: 0.3,2.196965725806452,0.6969346774193549,57.0,0.9526209677419355,0.49118427419354843,0.2057504032258064,0.10500766129032259,0.1980576612903226,0.950011063353162,0.3206806635357734,0.9494731758130402,0.3204449866537832
41,Evolved HMM 5,2.1967439516129033,0.36949677419354837,107.0,0.9514112903225806,0.20290645161290327,0.16659032258064516,0.2396449596774193,0.3908582661290322,0.8412397236056574,0.3840662690107974,0.13557968518946073,0.21524489206945743
42,Soft Go By Majority: 5,2.1959072580645165,0.5562592741935484,95.0,0.9503225806451613,0.4501280241935483,0.10613124999999997,0.10145625000000004,0.34228447580645166,0.9125805096034002,0.582971816942539,0.5254446641865479,0.17903156964891007
43,Contrite Tit For Tat,2.1946874999999997,0.5409229838709677,94.0,0.9500403225806452,0.40142278225806455,0.13950020161290325,0.13342701612903227,0.32564999999999994,0.9499892119542337,0.10681739632765902,0.9504161686438427,0.05100089519618422
44,Soft Joss: 0.9,2.194485887096774,0.5894133064516129,82.0,0.9516935483870967,0.42321270161290325,0.16620060483870971,0.12930080645161277,0.28128588709677416,0.9500356131397745,0.13962446513029736,0.9499826347717439,0.13930338161888317
45,"First by Stein and Rapoport: 0.05: (D, D)",2.1940524193548385,0.4459030241935484,157.0,0.9507661290322581,0.33596955645161297,0.10993346774193549,0.1581471774193549,0.3959497983870967,0.9154492270177992,0.07750383023051012,0.7387481227628014,0.05173191800607121
46,"ZD-GTFT-2: 0.25, 0.5",2.1936391129032256,0.640285685483871,74.0,0.9483467741935484,0.4475288306451611,0.19275685483870972,0.12335685483870971,0.2363574596774195,0.9499352625570253,0.16167134110410863,0.9504408740601457,0.2754493516827282
47,GTFT: 0.33,2.1936088709677417,0.7125366935483871,55.0,0.947983870967742,0.5008268145161289,0.21170987903225802,0.10123830645161297,0.18622500000000022,0.9499221962584838,0.34952936404629775,0.9506356288498857,0.3508971619502783
48,Second by WmAdams,2.193407258064516,0.5201967741935484,88.0,0.9528225806451613,0.3751399193548384,0.14505685483870967,0.14742419354838715,0.33237903225806475,0.9459898138029754,0.2240209644622447,0.7606229056539696,0.1771497588996833
49,Gradual,2.193366935483871,0.3271362903225806,167.0,0.9485887096774194,0.2461370967741935,0.08099919354838703,0.19519697580645162,0.477666733870968,0.884390575393543,0.2599716323713275,0.19808898921304177,0.10090695234825989
50,Forgiving Tit For Tat,2.1912701612903227,0.5489782258064516,83.0,0.9486290322580645,0.408801814516129,0.14017641129032263,0.1285346774193548,0.3224870967741935,0.9496425664480634,0.21645439263543578,0.9499873574929228,0.09898286626319941
51,Second by Black,2.1903125,0.7015391129032258,20.0,0.9474596774193549,0.5310370967741936,0.17050201612903224,0.07413729838709678,0.22432358870967747,0.9038203281640061,0.6836791442819764,0.7554307379072409,0.4492642587634719
52,CAPRI,2.1869959677419355,0.2757758064516129,139.0,0.9512096774193548,0.180629435483871,0.09514637096774192,0.2301556451612905,0.4940685483870966,0.874911508238078,0.24581953818843608,0.4548474785552664,0.04968576053494432
53,Once Bitten,2.182167338709678,0.4754302419354839,139.0,0.9512903225806452,0.3852935483870968,0.09013669354838717,0.12495241935483868,0.3996173387096773,0.908030191481195,0.547646898774372,0.3223454709924387,0.11958355216136458
54,Second by Tideman and Chieruzzi,2.179969758064516,0.49749899193548386,128.0,0.9490725806451613,0.36320987903225793,0.13428911290322582,0.14661310483870962,0.3558879032258067,0.8979654023686782,0.30429079243397844,0.6067917483475831,0.1719431718457669
55,Hard Tit For 2 Tats,2.178528225806452,0.6251475806451613,25.0,0.9491129032258064,0.4858860887096772,0.13926149193548393,0.0866090725806452,0.2882433467741936,0.9295165352845269,0.564953299902102,0.5077682935820278,0.35399894821189726
56,Hard Prober,2.17851814516129,0.33009576612903224,130.5,0.049233870967741934,0.20929999999999999,0.12079576612903235,0.21998749999999992,0.4499167338709678,0.8699288024370765,0.07551115379280778,0.661924334681794,0.06379688820854634
57,"Alexei: (D,)",2.1780040322580643,0.515089314516129,122.0,0.95,0.37393306451612907,0.14115625000000004,0.1424800403225807,0.3424306451612903,0.9464685047762289,0.0499760031007585,0.945748594474079,0.05087257388116089
58,Dynamic Two Tits For Tat,2.1744153225806455,0.6785758064516129,27.0,0.9489112903225806,0.5024756048387097,0.17610020161290335,0.08689677419354837,0.23452741935483865,0.8665993638096587,0.5877219069421211,0.6947718778011036,0.43710477576729384
59,Tit For Tat,2.174002016129032,0.5174116935483871,116.0,0.9506854838709677,0.3759094758064516,0.14150221774193553,0.1407721774193548,0.34181612903225805,0.9499591208448692,0.05004580289917687,0.9499284818041066,0.0502059610168207
60,Forgetful Fool Me Once: 0.05,2.1735887096774196,0.3807852822580645,140.0,0.9497983870967742,0.2796300403225805,0.10115524193548382,0.1789175403225806,0.4402971774193551,0.9001093364953189,0.47530123431203614,0.18975830131224855,0.10424013766599033
61,Adaptive Tit For Tat: 0.5,2.1724798387096773,0.5171635080645162,116.5,0.9484274193548388,0.37553024193548395,0.1416332661290323,0.1403413306451613,0.34249516129032254,0.9496638371711642,0.056651647283745374,0.9501399641837013,0.05191719477385576
62,Adaptive,2.1713911290322585,0.41052883064516127,136.0,0.9510080645161291,0.2494002016129032,0.16112862903225786,0.2088941532258065,0.38057701612903233,0.802582149616371,0.7123274262881908,0.21286054395729745,0.07938587456029157
63,Second by Champion,2.166451612903226,0.7517409274193548,20.5,0.9532258064516129,0.5520098790322583,0.19973104838709674,0.06524677419354838,0.18301229838709662,0.9500086375051838,0.6677761435755344,0.9499148800992907,0.45248082193923467
64,Resurrection,2.158155241935484,0.4680203629032258,171.0,0.9496774193548387,0.3488068548387098,0.11921350806451612,0.1454122983870968,0.38656733870967724,0.9501450807177314,0.0502307264770326,0.7003040905249647,0.04996881909133323
65,Fool Me Once,2.156592741935484,0.12888548387096774,213.0,0.9505241935483871,0.08710483870967745,0.04178064516129031,0.25606491935483855,0.6150495967741937,0.7332535541727655,0.17356855493560805,0.0810290242090124,0.050725236514831185
66,Second by Weiner,2.155877016129032,0.37788064516129033,210.0,0.9494354838709678,0.30853951612903235,0.06934112903225803,0.15187479838709678,0.4702445564516128,0.8615751514106379,0.12327288966130373,0.41104125072471825,0.05443008491605589
67,Math Constant Hunter,2.154385080645161,0.44089778225806453,112.0,0.9502822580645162,0.2273439516129032,0.21355383064516123,0.22869354838709685,0.33040866935483887,0.6991453980026411,0.7330648806790597,0.19707966446262518,0.2103253662677637
68,Second by Grofman,2.1533971774193548,0.3929354838709677,173.0,0.9504435483870968,0.3250635080645163,0.06787197580645164,0.14282459677419349,0.4642399193548387,0.8462272575526137,0.4992749432085983,0.2714282051993989,0.10835695142397335
69,Raider,2.152368951612903,0.37925826612903224,114.0,0.047943548387096774,0.24449274193548381,0.13476552419354834,0.19945806451612905,0.4212836693548387,0.8736558892704529,0.09623014965364046,0.7489310314389013,0.125124975885278
70,Meta Majority Long Memory: 137 players,2.151895161290323,0.3822758064516129,213.5,0.949516129032258,0.3071143145161289,0.07516149193548388,0.15347560483870973,0.46424858870967756,0.8586547834535703,0.05102715042020143,0.47985575505105216,0.05049680480811521
71,Meta Hunter: 6 players,2.1484475806451617,0.26985221774193546,142.5,0.9490322580645161,0.14271431451612906,0.12713790322580648,0.2477118951612904,0.48243588709677404,0.6951887270851762,0.5274972487659808,0.20735153642620532,0.10316163447554459
72,Slow Tit For Two Tats 2,2.1472580645161288,0.5285445564516129,98.0,0.9478225806451613,0.4237254032258065,0.1048191532258065,0.10128911290322576,0.3701663306451613,0.9500381337133,0.6108298004440653,0.4318173978989192,0.051401217991861974
73,Evolved FSM 16,2.146260080645161,0.3644375,131.0,0.9505241935483871,0.1367816532258064,0.22765584677419354,0.27501330645161287,0.36054919354838727,0.5116700965927029,0.443070183042127,0.3117109776575356,0.31173079175868507
74,Meta Majority Finite Memory: 80 players,2.145735887096774,0.4884810483870968,153.0,0.9513709677419355,0.37663145161290323,0.1118495967741936,0.12679798387096775,0.38472096774193537,0.92374113128145,0.16735512634329966,0.7018530671851136,0.07116225711435949
75,Meta Majority Memory One: 36 players,2.1428024193548385,0.49380725806451614,131.5,0.9543145161290323,0.36160040322580644,0.13220685483870964,0.137995564516129,0.36819717741935487,0.9351189174744061,0.10516003488826278,0.8128796538386232,0.07622248329716821
76,Firm But Fair,2.1411895161290317,0.6743278225806452,77.0,0.9503629032258064,0.4317846774193545,0.2425431451612905,0.12955766129032267,0.19611451612903238,0.9502488408118084,0.05013089803641461,0.9494723666934359,0.6487950290960482
77,Prober 3,2.140161290322581,0.2445602822580645,156.0,0.04875,0.14641008064516134,0.09815020161290317,0.23579556451612904,0.5196441532258065,0.7223950226328038,0.05053577184144607,0.5192631560893932,0.05488400296884497
78,EvolvedLookerUp2_2_2,2.1386189516129033,0.5176455645161291,99.0,0.9505645161290323,0.2506453629032258,0.2670002016129033,0.2258300403225807,0.2565243951612903,0.6601499406775919,0.3568199265936119,0.3454281781248319,0.7598988906586136
79,"N Tit(s) For M Tat(s): 3, 2",2.138578629032258,0.5361681451612903,102.0,0.9499596774193548,0.4277584677419353,0.10840967741935484,0.09796915322580647,0.36586270161290335,0.9158070621151201,0.5672663766568908,0.4342410233489153,0.19944616040128688
80,AdaptorBrief,2.1362600806451617,0.2710598790322581,198.5,0.9406451612903226,0.18680282258064518,0.08425705645161286,0.21152036290322568,0.5174197580645162,0.8246641497583641,0.1530103780824914,0.28574563356941934,0.07056199690008709
81,Forgiver,2.134536290322581,0.23695443548387096,198.0,0.9502822580645162,0.1902088709677419,0.04674556451612904,0.20081249999999998,0.5622330645161291,0.7490090032037023,0.25476625581888335,0.1454182139083412,0.05915055838730516
